Index "Column Density" Temperature "Minimised Chi-Squared" "One-Sigma N" "One-Sigma T" "Two-Sigma N" "Two-Sigma T" "Three-Sigma N" "Three-Sigma T"
0 2.0136047233190388e+19 14.274768554038157 0.99906991678526635 7.1263670216516096e+18 0.65214055547030902 1.201273557796993e+19 1.0782057183775766 1.6675132327216695e+19 1.5216612960973848
1 2.0136047233190388e+19 14.274768554038157 0.99100127983516528 7.1263670216516096e+18 0.64344534806403786 1.201273557796993e+19 1.0782057183775766 1.6675132327216695e+19 1.5129660886911154
2 1.9954268137389076e+19 14.2921589688507 0.96544766575640506 7.0620334144375378e+18 0.65214055547030725 1.1904290053077426e+19 1.0782057183775766 1.652459680047179e+19 1.5216612960973865
3 1.9774130060765348e+19 14.300854176256969 0.94379537184175155 7.1471819726978703e+18 0.64344534806403608 1.156036332900088e+19 1.0869009257838478 1.6114155598831639e+19 1.5216612960973865
4 1.941871784128263e+19 14.326939798475783 0.92718513894902066 6.8724963158994391e+18 0.64344534806403786 1.1456001615465732e+19 1.0782057183775766 1.6081095056955064e+19 1.5216612960973865
5 1.941871784128263e+19 14.326939798475783 0.92097591084681385 6.8724963158994391e+18 0.65214055547030902 1.1352582032116468e+19 1.0782057183775766 1.6081095056955064e+19 1.5303565035036577
6 1.9595618188942836e+19 14.318244591069512 0.93211431036963255 6.935103280865366e+18 0.65214055547030902 1.1690327156296186e+19 1.0782057183775766 1.6227590378097453e+19 1.5303565035036559
7 1.9774130060765348e+19 14.318244591069512 0.94025442523163272 6.9982805818319852e+18 0.65214055547030725 1.1796823525166324e+19 1.0782057183775766 1.6375420240142723e+19 1.5303565035036559
8 1.9954268137389076e+19 14.30954938366324 0.94362650042030372 7.2122912649845699e+18 0.65214055547030725 1.1665675755325493e+19 1.0782057183775766 1.652459680047179e+19 1.5216612960973865
9 1.9954268137389076e+19 14.30954938366324 0.9558837587870751 7.2122912649845699e+18 0.65214055547030725 1.1665675755325493e+19 1.0782057183775766 1.6260952094407873e+19 1.5303565035036559
10 1.9954268137389076e+19 14.300854176256969 0.97406337395195886 7.2122912649845699e+18 0.65214055547030725 1.1665675755325493e+19 1.0869009257838478 1.6375420240142723e+19 1.5216612960973865
11 1.9954268137389076e+19 14.2921589688507 1.0006642473331731 7.0620334144375378e+18 0.64344534806403786 1.1904290053077426e+19 1.0869009257838478 1.652459680047179e+19 1.5216612960973865
12 2.0136047233190388e+19 14.283463761444429 1.0358074338973458 7.1263670216516096e+18 0.65214055547030902 1.201273557796993e+19 1.086900925783846 1.6675132327216695e+19 1.5216612960973865
13 2.0504588415839572e+19 14.266073346631886 1.0730977707300262 7.2567977710303949e+18 0.65214055547030725 1.2232599373753027e+19 1.0869009257838478 1.6980329912300548e+19 1.5216612960973865
14 2.1070086019100406e+19 14.239987724413075 1.122264019762075 7.456933548625238e+18 0.64344534806403786 1.2569963162150926e+19 1.0782057183775748 1.7448631722278189e+19 1.5216612960973865
