Index "Column Density" Temperature "Minimised Chi-Squared" "One-Sigma N" "One-Sigma T" "Two-Sigma N" "Two-Sigma T" "Three-Sigma N" "Three-Sigma T"
0 2.8117686979742365e+17 14.795918367346939 7.449721282121719e-20 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
1 2.8117686979742365e+17 14.795918367346939 7.6309286693724092e-20 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
2 2.8117686979742365e+17 14.795918367346939 8.0353750344423868e-20 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
3 2.8117686979742365e+17 14.795918367346939 8.6738097444637081e-20 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
4 2.8117686979742365e+17 14.795918367346939 9.5562090617675206e-20 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
5 2.8117686979742365e+17 14.795918367346939 1.0692079776644792e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
6 2.8117686979742365e+17 14.795918367346939 1.2098267835656371e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
7 2.8117686979742365e+17 14.795918367346939 1.3798393468125496e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
8 2.8117686979742365e+17 14.795918367346939 1.5823299254781618e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
9 2.8117686979742365e+17 14.795918367346939 1.8199152243025952e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
10 2.8117686979742365e+17 14.795918367346939 2.0958411481567102e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
11 4.4984326689694534e+17 13.571428571428571 2.2506745669431103e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
12 4.4984326689694534e+17 13.571428571428571 2.3145087751425574e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
13 4.4984326689694534e+17 13.571428571428571 2.4281745828390712e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
14 4.4984326689694534e+17 13.571428571428571 2.5967823952688563e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
15 4.4984326689694534e+17 13.979591836734695 2.7491102941123749e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
16 4.4984326689694534e+17 13.979591836734695 2.7731028769234505e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
17 4.4984326689694534e+17 13.979591836734695 2.8625473032069843e-19 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0 9.9999999990000015e+24 20.0
