Index "Column Density" Temperature "Minimised Chi-Squared" "One-Sigma N" "One-Sigma T" "Two-Sigma N" "Two-Sigma T" "Three-Sigma N" "Three-Sigma T"
0 3.0888435964774973e+19 12.755102040816327 86780.665583784954 0.0 0.0 0.0 0.0 0.0 0.0
1 3.0888435964774973e+19 13.163265306122449 48521.310900035067 0.0 0.0 0.0 0.0 0.0 0.0
2 3.0888435964774973e+19 13.163265306122449 31641.776386861016 0.0 0.0 0.0 0.0 0.0 0.0
3 3.0888435964774973e+19 13.163265306122449 130540.45798356249 0.0 0.0 0.0 0.0 0.0 0.0
4 4.9417133613238182e+19 11.938775510204081 104173.06926807988 0.0 0.0 0.0 0.0 0.0 0.0
5 4.9417133613238182e+19 11.938775510204081 91985.454417267581 0.0 0.0 0.0 0.0 0.0 0.0
6 4.9417133613238182e+19 11.938775510204081 94620.042875448067 0.0 0.0 0.0 0.0 0.0 0.0
7 4.9417133613238182e+19 11.938775510204081 131497.36952679564 0.0 0.0 0.0 0.0 0.0 0.0
8 3.0888435964774973e+19 13.163265306122449 84805.176390485911 0.0 0.0 0.0 0.0 0.0 0.0
9 3.0888435964774973e+19 13.163265306122449 62471.260985590518 0.0 0.0 0.0 0.0 0.0 0.0
10 3.0888435964774973e+19 13.163265306122449 60439.025518024057 0.0 0.0 0.0 0.0 0.0 0.0
11 3.0888435964774973e+19 13.163265306122449 130281.81708627613 0.0 0.0 0.0 0.0 0.0 0.0
12 4.9417133613238182e+19 11.938775510204081 95043.070646015491 0.0 0.0 0.0 0.0 0.0 0.0
13 4.9417133613238182e+19 11.938775510204081 97806.96037327571 0.0 0.0 0.0 0.0 0.0 0.0
14 3.0888435964774973e+19 13.571428571428571 94708.224063736765 0.0 0.0 0.0 0.0 0.0 0.0
15 3.0888435964774973e+19 13.571428571428571 102079.12932156914 0.0 0.0 0.0 0.0 0.0 0.0
16 3.0888435964774973e+19 13.571428571428571 138127.61129805341 0.0 0.0 0.0 0.0 0.0 0.0
17 3.0888435964774973e+19 13.571428571428571 139595.40146147605 0.0 0.0 0.0 0.0 0.0 0.0
18 3.0888435964774973e+19 13.571428571428571 124960.94589342036 0.0 0.0 0.0 0.0 0.0 0.0
19 3.0888435964774973e+19 13.571428571428571 132574.94467168415 0.0 0.0 0.0 0.0 0.0 0.0
20 3.0888435964774973e+19 13.571428571428571 148079.79439617603 0.0 0.0 0.0 0.0 0.0 0.0
21 3.0888435964774973e+19 13.571428571428571 134356.61345697925 0.0 0.0 0.0 0.0 0.0 0.0
22 3.0888435964774973e+19 13.571428571428571 135897.29966071199 0.0 0.0 0.0 0.0 0.0 0.0
